exit_id,employee_id,exit_date,exit_type,exit_reason,rehire_eligible,exit_interview_score,comments
400292,101523,2024-01-15,voluntary,Better compensation,TRUE,1,Employee cited stronger pay package from another employer.
400293,101527,"May 28, 2025",VOLUNTARY,Manager relationship,1,1,Employee mentioned lack of manager support and communication.
400294,101535,2025-10-16,VOLUNTARY,Better compensation,Yes,4,Employee cited stronger pay package from another employer.
400295,101544,2024/11/26,Voluntary,personal reasons,TRUE,3,Employee left for personal or family reasons.
400296,101549,2021/11/03,voluntary,Better compensation,1,4,Employee cited stronger pay package from another employer.
400297,101551,2025-10-26,voluntary,Personal reasons,TRUE,5,Employee left for personal or family reasons.
400298,101552,2026-02-01,Voluntary,Workload,TRUE,2,Employee described workload pressure and burnout risk.
400299,101564,2026-04-08,VOLUNTARY,Relocation,1,0,Employee moved to another city or country.
400300,101572,2024-03-04,voluntary,Personal reasons,TRUE,3,Employee left for personal or family reasons.
400301,101580,08/13/2025,Involuntary,Performance termination,FALSE,3,Employment ended due to sustained performance issues.
400302,101581,2026-03-19,voluntary,Poor culture fit,Yes,5,Employee felt the culture did not match expectations.
400303,101582,2023-01-16,VOLUNTARY,Workload,1,1,Employee described workload pressure and burnout risk.
400304,101590,2024-03-31,Voluntary,Personal reasons,Yes,3,Employee left for personal or family reasons.
400305,101591,03/14/2026,voluntary,Personal reasons,1,2,Employee left for personal or family reasons.
400306,101592,2023-01-22,Voluntary,Career growth,1,6,Employee reported limited advancement opportunities.
400307,101594,2024-09-05,voluntary,Manager relationship,TRUE,0,Employee mentioned lack of manager support and communication.
400308,101608,12/22/2019,voluntary,Workload,1,2,Employee described workload pressure and burnout risk.
400309,101610,2023-02-17,voluntary,career growth,1,5,Employee reported limited advancement opportunities.
400310,101617,04/30/2023,voluntary,Better compensation,1,4,Employee cited stronger pay package from another employer.
400311,101621,2023-03-04,voluntary,Personal reasons,1,1,Employee left for personal or family reasons.
400312,101629,2025-06-12,Voluntary,Career growth,1,5,Employee reported limited advancement opportunities.
400313,101631,"Feb 26, 2025",Voluntary,Manager relationship,Yes,2,Employee mentioned lack of manager support and communication.
400314,101636,2015-02-02,voluntary,Personal reasons,Yes,1,Employee left for personal or family reasons.
400315,101640,2026-01-04,Voluntary,CAREER GROWTH,1,4,Employee reported limited advancement opportunities.
400316,101642,2024-05-29,voluntary,WORKLOAD,TRUE,1,Employee described workload pressure and burnout risk.
400317,101649,2023-06-12,Voluntary,Personal reasons,1,5,Employee left for personal or family reasons.
400318,101652,12-08-2022,Voluntary,Workload,TRUE,5,Employee described workload pressure and burnout risk.
400319,101653,2025-07-22,Voluntary,Career growth,Yes,5,Employee reported limited advancement opportunities.
400320,101654,12/29/2025,Voluntary,personal reasons,Yes,1,Employee left for personal or family reasons.
400321,101660,2025-11-30,voluntary,Workload,1,3,Employee described workload pressure and burnout risk.
400322,101666,2024-04-20,VOLUNTARY,Career growth,TRUE,,Employee reported limited advancement opportunities.
400323,101669,2025-12-17,Voluntary,Relocation,TRUE,,Employee moved to another city or country.
400324,101670,2025-12-03,voluntary,Poor culture fit,1,2,Employee felt the culture did not match expectations.
400325,101672,2021-04-12,Voluntary,Better compensation,Yes,1,Employee cited stronger pay package from another employer.
400326,101673,2026/01/15,voluntary,Relocation,Yes,3,Employee moved to another city or country.
400327,101683,2023-08-27,VOLUNTARY,Better compensation,Yes,5,Employee cited stronger pay package from another employer.
400328,101684,2023-01-13,VOLUNTARY,Better compensation,Yes,5,Employee cited stronger pay package from another employer.
400329,101693,2019-01-29,VOLUNTARY,RELOCATION,Yes,1,Employee moved to another city or country.
400330,101697,2025-10-22,Voluntary,Poor culture fit,Yes,,Employee felt the culture did not match expectations.
400331,101708,2025-11-26,VOLUNTARY,Better compensation,1,1,Employee cited stronger pay package from another employer.
400332,101725,"Mar 27, 2021",VOLUNTARY,Manager relationship,1,5,Employee mentioned lack of manager support and communication.
400333,101729,2026-01-03,Voluntary,Relocation,TRUE,3,Employee moved to another city or country.
400334,101742,2019-03-06,Voluntary,career growth,1,2,Employee reported limited advancement opportunities.
400335,101743,2022-04-12,VOLUNTARY,Better compensation,Yes,3,Employee cited stronger pay package from another employer.
400336,101744,2025-04-06,voluntary,Workload,1,5,Employee described workload pressure and burnout risk.
400337,101756,2025-11-24,VOLUNTARY,Workload,TRUE,5,Employee described workload pressure and burnout risk.
400338,101769,12/12/2020,voluntary,Better compensation,Yes,2,Employee cited stronger pay package from another employer.
400339,101782,2024-01-19,voluntary,Career growth,Yes,4,Employee reported limited advancement opportunities.
400340,101785,2021-06-23,voluntary,CAREER GROWTH,TRUE,5,Employee reported limited advancement opportunities.
400341,101787,2026-01-31,VOLUNTARY,BETTER COMPENSATION,Yes,,Employee cited stronger pay package from another employer.
400342,101788,2023-06-01,involuntary,Performance termination,0,4,Employment ended due to sustained performance issues.
400343,101795,2018-11-13,VOLUNTARY,relocation,Yes,6,Employee moved to another city or country.
400344,101803,2025-07-28,voluntary,Career growth,Yes,6,Employee reported limited advancement opportunities.
400345,101812,04/01/2026,VOLUNTARY,Poor culture fit,TRUE,3,Employee felt the culture did not match expectations.
400346,101818,2021-02-27,voluntary,Career growth,1,3,Employee reported limited advancement opportunities.
400347,101825,2026-04-12,Voluntary,Better compensation,TRUE,6,Employee cited stronger pay package from another employer.
400348,101827,2025-05-02,Voluntary,Better compensation,Yes,,Employee cited stronger pay package from another employer.
400349,101832,2022-06-28,involuntary,Performance termination,0,3,Employment ended due to sustained performance issues.
400350,101833,"Jun 17, 2025",VOLUNTARY,Poor culture fit,Yes,1,Employee felt the culture did not match expectations.
400351,101840,2025-08-26,VOLUNTARY,Relocation,Yes,1,Employee moved to another city or country.
400352,101842,20-01-2020,voluntary,Manager relationship,1,3,Employee mentioned lack of manager support and communication.
400353,101848,2026-02-27,Voluntary,Career growth,Yes,1,Employee reported limited advancement opportunities.
400354,101849,2020-01-28,VOLUNTARY,Workload,Yes,3,Employee described workload pressure and burnout risk.
400355,100303,2023-10-05,Voluntary,Better compensation,1,1,Employee cited stronger pay package from another employer.
400356,100848,02/15/2024,voluntary,Better compensation,1,,Employee cited stronger pay package from another employer.
400357,100726,2020-05-19,voluntary,Manager relationship,Yes,5,Employee mentioned lack of manager support and communication.
400358,101465,2024-04-02,Voluntary,Manager relationship,Yes,4,Employee mentioned lack of manager support and communication.
400359,101407,2025-03-12,Voluntary,Workload,1,4,Employee described workload pressure and burnout risk.
400360,100872,2024-04-09,voluntary,PERSONAL REASONS,Yes,3,Employee left for personal or family reasons.
400361,101359,2026-03-02,VOLUNTARY,Better compensation,TRUE,5,Employee cited stronger pay package from another employer.
400362,100083,2019-01-31,voluntary,Workload,Yes,1,Employee described workload pressure and burnout risk.
400363,100370,2026-03-02,VOLUNTARY,Personal reasons,Yes,3,Employee left for personal or family reasons.
400364,100968,2025-07-16,VOLUNTARY,Workload,TRUE,3,Employee described workload pressure and burnout risk.
400365,100638,2026-03-17,Voluntary,Better compensation,1,2,Employee cited stronger pay package from another employer.
400366,100954,2025-09-07,Voluntary,Workload,TRUE,5,Employee described workload pressure and burnout risk.
400367,101121,2025-07-20,VOLUNTARY,Workload,Yes,5,Employee described workload pressure and burnout risk.
400368,101434,"Mar 28, 2023",Voluntary,Manager relationship,TRUE,5,Employee mentioned lack of manager support and communication.
400369,101673,2026/01/15,voluntary,Relocation,Yes,3,Employee moved to another city or country.
400370,100324,2025-06-29,Involuntary,Performance termination,0,2,Employment ended due to sustained performance issues.
400371,100825,2019-06-05,voluntary,Manager relationship,1,4,Employee mentioned lack of manager support and communication.
400372,101144,2025-06-20,Voluntary,Manager relationship,Yes,3,Employee mentioned lack of manager support and communication.
400373,101743,2022-04-12,VOLUNTARY,Better compensation,Yes,3,Employee cited stronger pay package from another employer.
400374,101032,2025-05-09,VOLUNTARY,Career growth,TRUE,5,Employee reported limited advancement opportunities.
